rmag  imag  zmag
20.736  20.341  20.170
20.031  19.792  19.647
19.417  19.105  18.938
19.007  18.697  18.569
21.003  20.840  99.999
20.487  20.068  19.784
20.427  20.062  19.795
19.927  19.609  19.436
20.753  20.248  19.857
20.789  20.326  20.046
20.691  20.372  20.187
21.348  20.867  99.999
20.365  20.176  20.123
20.011  19.632  19.367
19.805  19.487  19.286
20.842  20.583  20.350
20.228  19.734  19.548
20.376  19.803  19.611
19.965  19.489  19.243
20.628  20.395  20.239
20.016  19.776  19.600
20.024  19.665  19.387
20.407  19.847  19.574
20.493  20.193  20.325
20.528  20.196  19.956
20.528  20.019  19.609
20.850  20.466  20.166
20.253  19.924  19.725
20.812  20.566  20.379
20.666  20.159  19.874
20.731  20.349  20.173
20.483  20.169  20.078
21.148  20.728  20.348
20.639  20.311  19.942
21.273  20.627  19.981
20.659  20.361  20.020
20.419  19.956  19.578
19.760  19.560  19.519
19.013  18.833  18.729
20.582  20.127  19.845
20.498  20.154  99.999
20.272  19.813  19.480
20.438  20.117  19.887
19.554  19.180  18.949
20.039  19.706  19.680
20.360  19.893  19.593
19.757  19.315  19.103
20.083  19.778  19.750
19.986  19.492  19.259
19.632  19.342  19.109
19.979  19.700  19.521
20.071  19.783  19.647
19.935  19.501  19.328
20.220  19.805  19.579
19.759  19.344  19.008
19.941  19.499  19.289
20.037  19.675  19.406
19.412  19.067  18.787
